date,opponent,pitcher,batterHand,battersFaced,velocity,pitchType,location,swing,miss
6/5/2024,Yorktown,Johnson,L,2,78,FB,10,0,0
6/5/2024,Yorktown,Johnson,L,2,,FB,6,0,0
6/5/2024,Yorktown,Johnson,L,2,,FB,13,1,1
6/5/2024,Yorktown,Johnson,L,2,72,SL,12,0,0
6/5/2024,Yorktown,Johnson,R,3,67,CB,6,0,0
6/5/2024,Yorktown,Johnson,R,3,79,FB,13,1,0
6/5/2024,Yorktown,Johnson,R,3,83,FB,8,1,0
6/5/2024,Yorktown,Johnson,L,4,80,FB,5,0,0
6/5/2024,Yorktown,Johnson,L,4,79,FB,13,0,0
6/5/2024,Yorktown,Johnson,L,4,70,CB,13,1,1
6/5/2024,Yorktown,Johnson,L,4,80,FB,12,0,0
6/5/2024,Yorktown,Johnson,L,4,70,CB,4,1,1
6/5/2024,Yorktown,Johnson,L,5,,CH,12,0,0
6/5/2024,Yorktown,Johnson,L,5,77,CH,12,1,0
6/5/2024,Yorktown,Johnson,L,5,68,CB,6,1,1
6/5/2024,Yorktown,Johnson,L,5,65,CB,13,0,0
6/5/2024,Yorktown,Johnson,L,5,83,FB,1,1,0
6/5/2024,Yorktown,Johnson,L,5,82,FB,10,0,0
6/5/2024,Yorktown,Johnson,L,5,77,CH,2,1,0
6/5/2024,Yorktown,Johnson,L,5,72,SL,9,0,0
6/5/2024,Yorktown,Johnson,L,6,82,FB,10,0,0
6/5/2024,Yorktown,Johnson,L,6,69,CB,12,0,0
6/5/2024,Yorktown,Johnson,L,6,79,FB,8,1,1
6/5/2024,Yorktown,Johnson,L,6,,FB,12,0,0
6/5/2024,Yorktown,Johnson,L,6,78,FB,9,1,0
6/5/2024,Yorktown,Johnson,L,6,81,FB,5,1,0
6/5/2024,Yorktown,Johnson,R,7,70,CB,4,0,0
6/5/2024,Yorktown,Johnson,R,7,70,CB,9,0,0
6/5/2024,Yorktown,Johnson,R,7,71,CB,9,1,0
6/5/2024,Yorktown,Johnson,R,8,69,CB,10,0,0
6/5/2024,Yorktown,Johnson,R,8,81,FB,3,1,0
6/5/2024,Yorktown,Johnson,R,9,80,FB,10,0,0
6/5/2024,Yorktown,Johnson,R,10,66,CB,6,0,0
6/5/2024,Yorktown,Johnson,R,10,81,FB,9,1,0
6/5/2024,Yorktown,Johnson,R,10,72,SL,13,1,0
6/5/2024,Yorktown,Johnson,R,10,79,FB,8,0,0
6/5/2024,Yorktown,Johnson,R,10,81,FB,12,0,0
6/5/2024,Yorktown,Johnson,R,10,70,CB,6,1,1
6/5/2024,Yorktown,Johnson,R,10,66,CB,12,1,1
6/5/2024,Yorktown,Johnson,R,11,82,FB,8,1,0
6/5/2024,Yorktown,Johnson,R,11,78,FB,11,0,0
6/5/2024,Yorktown,Johnson,R,11,,CB,4,1,0
6/5/2024,Yorktown,Johnson,L,12,79,FB,4,0,0
6/5/2024,Yorktown,Johnson,L,12,79,FB,4,1,0
6/5/2024,Yorktown,Johnson,R,13,65,CB,8,0,0
6/5/2024,Yorktown,Johnson,R,13,81,FB,13,0,0
6/5/2024,Yorktown,Johnson,R,13,70,CB,11,0,0
6/5/2024,Yorktown,Johnson,R,13,83,FB,7,1,1
6/5/2024,Yorktown,Johnson,R,13,78,FB,13,1,0
6/5/2024,Yorktown,Johnson,R,14,67,CB,5,1,0
6/5/2024,Yorktown,Johnson,L,15,76,CH,7,0,0
6/5/2024,Yorktown,Johnson,L,15,78,FB,10,1,1
6/5/2024,Yorktown,Johnson,L,15,,CH,7,1,0
6/5/2024,Yorktown,Johnson,L,16,80,FB,1,0,0
6/5/2024,Yorktown,Johnson,L,16,81,FB,1,0,0
6/5/2024,Yorktown,Johnson,L,17,81,FB,12,0,0
6/5/2024,Yorktown,Johnson,L,17,81,FB,12,0,0
6/5/2024,Yorktown,Johnson,L,17,79,FB,7,1,0
6/5/2024,Yorktown,Johnson,R,18,77,CH,11,0,0
6/5/2024,Yorktown,Johnson,R,18,,FB,13,0,0
6/5/2024,Yorktown,Johnson,R,18,77,FB,4,0,0
6/5/2024,Yorktown,Johnson,R,18,69,CB,2,1,1
6/5/2024,Yorktown,Johnson,R,18,65,CB,5,1,1
6/5/2024,Yorktown,Johnson,L,19,68,CB,13,0,0
6/5/2024,Yorktown,Johnson,L,19,80,FB,12,0,0
6/5/2024,Yorktown,Johnson,L,19,76,CH,13,0,0
6/5/2024,Yorktown,Johnson,L,19,80,FB,8,1,1
6/5/2024,Yorktown,Johnson,L,19,,CH,13,0,0
6/5/2024,Yorktown,Johnson,R,20,79,FB,1,1,0
6/5/2024,Yorktown,Johnson,R,21,69,CB,6,0,0
6/5/2024,Yorktown,Johnson,R,21,67,CB,13,0,0
6/5/2024,Yorktown,Johnson,R,21,77,FB,6,0,0
6/5/2024,Yorktown,Johnson,R,21,68,CB,11,0,0
6/5/2024,Yorktown,Johnson,R,21,70,CB,,,
6/5/2024,Yorktown,Johnson,R,21,67,CB,10,0,0
6/5/2024,Yorktown,Johnson,R,21,,FB,10,0,0
6/5/2024,Yorktown,Johnson,L,22,69,CB,11,0,0
6/5/2024,Yorktown,Johnson,L,22,,SL,13,1,1
6/5/2024,Yorktown,Johnson,L,22,63,SL,5,1,0
5/28/2024,Carolina,Johnson,,,80,FB,7,0,0
5/28/2024,Carolina,Johnson,,,,CB,6,0,0
5/28/2024,Carolina,Johnson,,,,FB,8,1,0
5/28/2024,Carolina,Johnson,,,78,FB,5,1,1
5/28/2024,Carolina,Johnson,,,71,SL,13,0,0
5/28/2024,Carolina,Johnson,,,,CB,12,0,0
5/28/2024,Carolina,Johnson,,,,FB,5,0,0
5/28/2024,Carolina,Johnson,,,70,CH,13,0,0
5/28/2024,Carolina,Johnson,,,,FB,11,0,0
5/28/2024,Carolina,Johnson,,,,FB,12,0,0
5/28/2024,Carolina,Johnson,,,75,SL,9,1,1
5/28/2024,Carolina,Johnson,,,70,CB,13,0,0
5/28/2024,Carolina,Johnson,,,,FB,8,1,1
5/28/2024,Carolina,Johnson,,,77,FB,12,0,0
5/28/2024,Carolina,Johnson,,,68,CH,2,1,0
5/28/2024,Carolina,Johnson,,,70,CB,6,1,0
5/28/2024,Carolina,Johnson,,,67,CH,5,1,0
5/28/2024,Carolina,Johnson,,,82,FB,7,0,0
5/28/2024,Carolina,Johnson,,,79,FB,10,0,0
5/28/2024,Carolina,Johnson,,,78,FB,4,1,0
5/28/2024,Carolina,Johnson,,,78,FB,12,0,0
5/28/2024,Carolina,Johnson,,,73,CB,12,0,0
5/28/2024,Carolina,Johnson,,,77,FB,7,1,0
5/30/2024,Danville,Driscoll,R,1,83,CH,10,0,0
5/30/2024,Danville,Driscoll,R,1,,FB,6,0,0
5/30/2024,Danville,Driscoll,R,1,,FB,10,1,1
5/30/2024,Danville,Driscoll,R,1,86,FB,4,1,0
5/30/2024,Danville,Driscoll,L,2,88,FB,10,0,0
5/30/2024,Danville,Driscoll,L,2,88,FB,5,1,0
5/30/2024,Danville,Driscoll,L,2,88,FB,13,0,0
5/30/2024,Danville,Driscoll,L,2,88,FB,12,0,0
5/30/2024,Danville,Driscoll,L,2,88,FB,8,1,1
5/30/2024,Danville,Driscoll,L,2,86,FB,12,0,0
5/30/2024,Danville,Driscoll,R,3,,SL,13,0,0
5/30/2024,Danville,Driscoll,R,3,88,FB,12,0,0
5/30/2024,Danville,Driscoll,R,3,87,FB,13,0,0
5/30/2024,Danville,Driscoll,R,3,87,FB,4,0,0
5/30/2024,Danville,Driscoll,R,3,86,FB,10,0,0
5/30/2024,Danville,Driscoll,R,4,,FB,2,1,0
5/30/2024,Danville,Driscoll,R,5,72,CB,12,0,0
5/30/2024,Danville,Driscoll,R,5,83,FB,13,0,0
5/30/2024,Danville,Driscoll,R,5,,SL,12,0,0
5/30/2024,Danville,Driscoll,R,5,,FB,7,0,0
5/30/2024,Danville,Driscoll,R,5,,CH,13,0,0
5/30/2024,Danville,Driscoll,L,6,78,CB,13,0,0
